Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. FALCON,MP. FALCON,PQ. JADACAQUIVA,ESCUELA ESTADAL LAS MARGARITAS,N/A,383,318,318,313,5,N/A,1,0,0,0,2,126,185
EDO. FALCON,MP. FALCON,PQ. JADACAQUIVA,ESCUELA BOLIVARIANA GUAIDABACOA,N/A,267,205,205,199,6,N/A,1,1,1,1,1,64,131
EDO. FALCON,MP. FALCON,PQ. JADACAQUIVA,ESCUELA BASICA BOLIVARIANA JADACAQUIVA,N/A,1340,1056,1056,1042,14,N/A,3,2,0,0,6,427,607
EDO. FALCON,MP. FALCON,PQ. JADACAQUIVA,ESCUELA BOLIVARIANA AMARAYA,N/A,139,121,121,119,2,N/A,1,0,0,0,3,99,17
EDO. FALCON,MP. FALCON,PQ. JADACAQUIVA,ESCUELA BOLIVARIANA SAN PEDRO,N/A,131,128,128,127,1,N/A,1,0,0,0,0,38,89
EDO. FALCON,MP. FALCON,PQ. BUENA VISTA,ESCUELA BOLIVARIANA LA PITAHAYA,N/A,238,229,229,228,1,N/A,1,0,0,0,0,54,174
EDO. FALCON,MP. FALCON,PQ. BUENA VISTA,ESCUELA BASICA MAICARA,N/A,472,369,369,364,5,N/A,1,0,0,0,1,91,272
EDO. FALCON,MP. FALCON,PQ. BUENA VISTA,ESCUELA ESTADAL MATIVIDIRO,N/A,436,384,384,382,2,N/A,1,0,0,0,3,97,282
EDO. FALCON,MP. FALCON,PQ. BUENA VISTA,ESCUELA BÁSICA BOLIVARIANA MANUELA WEFFER DE ROMERO,N/A,1987,1643,1643,1607,36,N/A,4,0,2,0,6,708,891
EDO. FALCON,MP. MONS. ITURRIZA,PQ. BOCA DE TOCUYO,ESCUELA BOLIVARIANA  MANUEL MOLINA HERNANDEZ,N/A,1421,1139,1139,1121,18,N/A,3,0,0,0,5,505,611
EDO. FALCON,MP. MONS. ITURRIZA,PQ. CHICHIRIVICHE,ESCUELA PRIMERA BOLIVARIANA FLAMENCO,N/A,1291,929,929,891,38,N/A,3,0,0,0,3,335,553
EDO. FALCON,MP. MONS. ITURRIZA,PQ. CHICHIRIVICHE,CENTRO EDUCACION INICIAL CELESTE,N/A,323,252,252,245,7,N/A,1,0,0,0,2,136,107
EDO. FALCON,MP. MONS. ITURRIZA,PQ. CHICHIRIVICHE,ESCUELA PRIMARIA  VIRGEN DEL VALLE,N/A,1407,1055,1055,1024,31,N/A,3,0,0,0,6,593,425
EDO. FALCON,MP. MONS. ITURRIZA,PQ. CHICHIRIVICHE,LICEO BOLIVARIANO RAMON YANEZ,N/A,1694,1281,1281,1258,23,N/A,3,1,0,0,5,735,517
EDO. FALCON,MP. MONS. ITURRIZA,PQ. CHICHIRIVICHE,CENTRO DE EDUCACIÓN INICIAL POLITA DE LIMA,N/A,1745,1305,1305,1275,30,N/A,3,2,0,1,8,725,539
EDO. FALCON,MP. MONS. ITURRIZA,PQ. TOCUYO DE LA COSTA,ESCUELA BOLIVARIANA TIBANA NER 123.,N/A,220,191,191,182,9,N/A,1,0,0,0,0,32,150
EDO. FALCON,MP. MONS. ITURRIZA,PQ. TOCUYO DE LA COSTA,ESCUELA BÁSICA AVECINDA PIÑA,N/A,1150,908,908,892,16,N/A,2,0,0,0,4,326,562
EDO. FALCON,MP. MONS. ITURRIZA,PQ. TOCUYO DE LA COSTA,ESCUELA PRIMARIA BOLIVARIANA SANTA ROSA,N/A,159,129,129,124,5,N/A,1,0,0,1,0,11,112
EDO. FALCON,MP. MONS. ITURRIZA,PQ. TOCUYO DE LA COSTA,UNIVERSIDAD EXPERIMENTAL FRANCISCO DE MIRANDA,N/A,555,434,434,422,12,N/A,1,0,0,0,1,122,299
EDO. FALCON,MP. MONS. ITURRIZA,PQ. TOCUYO DE LA COSTA,ESCUELA BOLIVARIANA JOSE MARIA GIL,N/A,1423,1095,1095,1079,16,N/A,3,0,0,0,6,447,626
EDO. FALCON,MP. MONS. ITURRIZA,PQ. TOCUYO DE LA COSTA,ESCUELA PRIMARIA  BOLIVARIANA SANARE ABAJO,N/A,563,412,412,394,18,N/A,1,0,0,0,1,113,280
EDO. FALCON,MP. MONS. ITURRIZA,PQ. TOCUYO DE LA COSTA,LICEO BOLIVARIANO  JACINTO REGINO PACHANO,N/A,1573,1260,1260,1239,21,N/A,3,0,0,0,2,466,771
EDO. FALCON,MP. MONS. ITURRIZA,PQ. TOCUYO DE LA COSTA,ESCUELA PRIMARIA BOLIVARIANA EL BLANQUILLO,N/A,159,119,119,118,1,N/A,1,0,0,0,0,8,110
EDO. FALCON,MP. MONS. ITURRIZA,PQ. TOCUYO DE LA COSTA,ESCUELA PRIMARIA BOLIVARIANA SAN JOSE DE SANARE,N/A,162,148,148,147,1,N/A,1,0,0,0,0,9,138
EDO. FALCON,MP. MONS. ITURRIZA,PQ. TOCUYO DE LA COSTA,ESCUELA BASICA EL ALTO DE LA ALEGRIA,N/A,490,309,309,294,15,N/A,1,0,0,0,1,72,221
EDO. FALCON,MP. TOCOPERO,CM. TOCOPERO,ESCUELA BOLIVARIANA ESTADAL CIENEGA LEJOS,N/A,896,749,749,731,18,N/A,2,1,0,0,3,157,570
EDO. FALCON,MP. TOCOPERO,CM. TOCOPERO,ESCUELA ESTADAL JOSE ISIDRO VIVAS,N/A,325,253,253,249,4,N/A,1,0,0,0,1,67,181
EDO. FALCON,MP. TOCOPERO,CM. TOCOPERO,CENTRO DE EDUCACION INICIAL CARMEN DE GOMEZ,N/A,405,340,340,328,12,N/A,1,0,0,0,0,92,236
EDO. FALCON,MP. TOCOPERO,CM. TOCOPERO,ESCUELA BOLIVARIANA NACIONAL PUENTE RICOA,N/A,480,357,357,345,12,N/A,1,0,0,0,1,59,285
EDO. FALCON,MP. TOCOPERO,CM. TOCOPERO,ALDEA BOLIVARIANA UNIVERSITARIA TOCOPERO,N/A,1643,1262,1262,1227,35,N/A,3,0,0,0,5,495,727
EDO. FALCON,MP. TOCOPERO,CM. TOCOPERO,ESCUELA BOLIVARIANA ESTADAL SANTA ROSA,N/A,1162,962,962,941,21,N/A,2,0,0,0,3,173,765
EDO. FALCON,MP. TOCOPERO,CM. TOCOPERO,ESCUELA BOLIVARIANA ESTADAL EL CABALLO,N/A,431,316,316,305,11,N/A,1,0,0,0,0,26,279
EDO. FALCON,MP. TOCOPERO,CM. TOCOPERO,ESCUELA BOLIVARIANA EL PERÚ NER 192,N/A,237,198,198,191,7,N/A,1,0,0,0,1,14,176
EDO. FALCON,MP. TOCOPERO,CM. TOCOPERO,ESCUELA BASICA BOLIVARIANA SANTO TOMAS,N/A,316,286,286,278,8,N/A,1,0,0,0,2,62,214
EDO. FALCON,MP. SILVA,PQ. BOCA DE AROA,ESCUELA BOLIVARIANA ANSELMITO,N/A,190,102,102,91,11,N/A,1,0,0,0,1,18,72
EDO. FALCON,MP. SILVA,PQ. BOCA DE AROA,ESCUELA BÁSICA KILOMETRO 26. NER 001,N/A,47,10,10,10,0,N/A,1,0,0,0,0,3,7
EDO. FALCON,MP. SILVA,PQ. BOCA DE AROA,ESCUELA PRIMARIA BOLIVARIANA PRÓSPERO AGUSTÍN OCANDO,N/A,1599,1089,1089,1045,44,N/A,3,0,0,1,4,360,680
EDO. FALCON,MP. SILVA,PQ. BOCA DE AROA,ESCUELA BOLIVARIANA JOSE RAMON YEPEZ,N/A,1843,1250,1250,1208,42,N/A,4,1,0,1,5,533,668
EDO. FALCON,MP. SILVA,PQ. BOCA DE AROA,ESCUELA DE EDUCACION INICIAL SIMONCITO JOSE RAMON YEPEZ,N/A,208,176,176,167,9,N/A,1,0,0,0,1,48,118
EDO. FALCON,MP. SILVA,PQ. BOCA DE AROA,ESCUELA ESTADAL BARRIO VERDE,N/A,255,192,192,187,5,N/A,1,1,0,1,1,28,156
EDO. FALCON,MP. SILVA,PQ. BOCA DE AROA,CENTRO DE EDUCACION INICIAL LAS DELICIAS,N/A,294,206,206,204,2,N/A,1,0,0,0,1,52,151
EDO. FALCON,MP. SILVA,PQ. BOCA DE AROA,JARDIN DE INFANCIA BARRIO CARTON,N/A,295,199,199,191,8,N/A,1,0,0,0,2,50,139
EDO. FALCON,MP. SILVA,PQ. TUCACAS,ESCUELA BOLIVARIANA SANARE ARRIBA,N/A,1048,665,665,648,17,N/A,2,0,0,0,6,180,462
EDO. FALCON,MP. SILVA,PQ. TUCACAS,ESCUELA BOLIVARIANA SANTA BARBARA NER 215,N/A,492,288,288,281,7,N/A,1,0,0,2,3,95,181
EDO. FALCON,MP. SILVA,PQ. TUCACAS,ESCUELA PRIMARIA ESTADAL ARMANDO SCHWARCK ANGLADE,N/A,671,466,466,456,10,N/A,2,0,0,1,6,128,321
EDO. FALCON,MP. SILVA,PQ. TUCACAS,CENTRO DE EDUCACION INICIAL FELIPE ESTEVES,N/A,1745,1256,1256,1222,34,N/A,3,0,0,2,9,767,444
EDO. FALCON,MP. SILVA,PQ. TUCACAS,ESCUELA DE EDUCACION INICIAL SIMONCITO ALICIA PIETRI DE CALDERA,N/A,627,438,438,417,21,N/A,2,0,0,0,1,203,213
EDO. FALCON,MP. SILVA,PQ. TUCACAS,LICEO BOLIVARIANO JOSE LEONARDO CHIRINOS,N/A,1493,989,989,954,35,N/A,3,1,1,2,7,578,365
EDO. FALCON,MP. SILVA,PQ. TUCACAS,CENTRO DE EDUCACION INICIAL RURAL SANARE ARRIBA,N/A,357,275,275,259,16,N/A,1,0,0,0,1,39,219
EDO. FALCON,MP. SILVA,PQ. TUCACAS,ESCUELA BASICA MUNICIPAL 03 TUCACAS,N/A,622,409,409,404,5,N/A,2,0,0,0,0,167,237
EDO. FALCON,MP. SILVA,PQ. TUCACAS,ESCUELA PRIMARIA BOLIVARIANA FELIPE ESTEVES,N/A,2680,1889,1889,1841,48,N/A,5,0,1,1,10,1050,779
EDO. FALCON,MP. SILVA,PQ. TUCACAS,ESCUELA BASICA ESTADAL LAS LAPAS NER 215,N/A,821,502,502,488,14,N/A,2,0,0,0,5,122,361
EDO. FALCON,MP. SILVA,PQ. TUCACAS,ESCUELA BOLIVARIANA FELIPITO NER 215,N/A,531,358,358,354,4,N/A,1,1,0,0,1,112,240
