Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. COJEDES,MP. RICAURTE,PQ. LIBERTAD DE COJEDES,ESCUELA BASICA SABANA LARGA,N/A,299,279,279,277,2,N/A,1,0,0,0,5,53,219
EDO. COJEDES,MP. RICAURTE,PQ. LIBERTAD DE COJEDES,ESCUELA  BASICA  EL MUERTICO,N/A,509,423,423,417,6,N/A,1,0,0,0,2,39,376
EDO. COJEDES,MP. RICAURTE,PQ. LIBERTAD DE COJEDES,ESCUELA ESTADAL UNITARIA NUMERO 155,N/A,420,322,322,315,7,N/A,1,0,0,0,2,92,221
EDO. COJEDES,MP. RICAURTE,PQ. LIBERTAD DE COJEDES,ESCUELA  BASICA  CANTA RANA,N/A,808,677,677,657,20,N/A,2,1,0,1,2,83,570
EDO. COJEDES,MP. RICAURTE,PQ. LIBERTAD DE COJEDES,ESCUELA ESTADAL ZOILA EMPERATRIZ GUTIERREZ,N/A,1299,1017,1017,1006,11,N/A,3,0,0,0,9,223,774
EDO. COJEDES,MP. RICAURTE,PQ. LIBERTAD DE COJEDES,ESCUELA  BASICA  MIGUEL PALAO RICO,N/A,1950,1577,1577,1546,31,N/A,4,0,1,0,11,319,1215
EDO. COJEDES,MP. RICAURTE,PQ. LIBERTAD DE COJEDES,ESCUELA  ESTADAL NUMERO  256,N/A,287,218,218,213,5,N/A,1,0,0,0,0,50,163
EDO. COJEDES,MP. RICAURTE,PQ. LIBERTAD DE COJEDES,ESCUELA  CONCENTRADA  MIXTA GENAREÑO,N/A,437,349,349,345,4,N/A,1,0,1,1,0,78,265
EDO. COJEDES,MP. RICAURTE,PQ. LIBERTAD DE COJEDES,ESCUELA CONCENTRADA NUMERO  15 35 89 156,N/A,1063,876,876,849,27,N/A,2,0,0,0,7,210,632
EDO. COJEDES,MP. RICAURTE,PQ. LIBERTAD DE COJEDES,CICLO BASICO COMUN, FERNANDO FIGUEREDO,N/A,1546,1313,1313,1273,40,N/A,3,0,0,0,5,254,1014
EDO. COJEDES,MP. RICAURTE,PQ. EL AMPARO,CONCENTRACION ESCOLAR EL AMPARO,N/A,1049,781,781,765,16,N/A,2,0,0,2,6,137,620
EDO. COJEDES,MP. RICAURTE,PQ. EL AMPARO,C.E.I. LUIS RAMON MATUTE,N/A,389,347,347,344,3,N/A,1,1,0,0,2,34,307
EDO. COJEDES,MP. ROMULO GALLEGOS,PQ. ROMULO GALLEGOS,JARDIN DE INFANCIA 24 DE JUNIO,N/A,675,547,547,539,8,N/A,2,0,0,1,3,77,458
EDO. COJEDES,MP. ROMULO GALLEGOS,PQ. ROMULO GALLEGOS,UNIDAD EDUCATIVA ALEJANDRO FEBRES,N/A,569,517,517,504,13,N/A,1,0,0,1,3,101,399
EDO. COJEDES,MP. ROMULO GALLEGOS,PQ. ROMULO GALLEGOS,ESCUELA  BASICA LA BLANCA,N/A,1280,1046,1046,1023,23,N/A,3,0,0,0,6,253,764
EDO. COJEDES,MP. ROMULO GALLEGOS,PQ. ROMULO GALLEGOS,CENTRO DE EDUCACION INICIAL NACIONAL BOLIVARIANO MATA ABDON,N/A,575,505,505,493,12,N/A,1,0,0,1,3,137,352
