Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,UNIDAD EDUCATIVA NACIONAL ABDON CALDERON,N/A,4103,3363,3363,3292,71,N/A,8,3,2,3,8,1524,1752
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,UNIDAD EDUCATIVA  MARIBEL CABALLERO DE TIRADO,N/A,2859,2433,2433,2410,23,N/A,5,2,0,3,11,1629,765
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,UNIDAD EDUCATIVA ESTADAL MANUEL CEDEÑO,N/A,1077,923,923,910,13,N/A,2,1,1,0,8,446,454
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,ESCUELA NACIONAL BARBULA,N/A,4231,3497,3497,3431,66,N/A,8,1,0,3,15,1607,1805
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,UNIDAD EDUCATIVA LAS MARIAS,N/A,189,155,155,152,3,N/A,1,0,0,0,0,22,130
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,ESCUELA NACIONAL BATALLA DE BOMBONA,N/A,3649,2961,2961,2920,41,N/A,7,1,3,1,9,1402,1504
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,ESCUELA DOCTOR LISANDRO LECUNA,N/A,5932,4848,4848,4798,50,N/A,11,0,0,2,16,3430,1350
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,UNIDAD ESCOLAR SIMON BOLIVAR,N/A,7378,6447,6447,6396,51,N/A,14,1,7,5,13,5090,1280
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,UNIDAD EDUCATIVA ESTADAL AMBROSIO PLAZA,N/A,4090,3460,3460,3391,69,N/A,8,2,1,2,11,1737,1638
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,ESCUELA  BOLIVARIANA  BARBULA II,N/A,3279,2573,2573,2520,53,N/A,6,1,0,1,10,1230,1278
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,ESCUELA MARIA TERESA CORONEL,N/A,4856,3850,3850,3791,59,N/A,9,3,2,1,12,1950,1823
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,UNIDAD EDUCATIVA CRISPINA MERCADO,N/A,3103,2569,2569,2504,65,N/A,6,0,0,3,13,788,1700
